Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision
6,10,5,0.0536,0.0122327429467,0.0350435437072,0.999851851852,46.0,0.0,dawid,0.999851851852,0.984817151745
6,10,5,0.0724,0.00558927544499,0.000342465753425,0.896500135682,46.0,0.0,mv,0.896500135682,0.99984423676
7,2,5,0.1599,0.0214030371677,0.0660181675937,0.91583969929,9.4,0.0,dong,0.91583969929,0.969034777389
7,2,5,0.3374,0.0435504305375,0.191302648448,0.937437542211,9.4,0.0,dawid,0.937437542211,0.917018329717
7,2,5,0.1599,0.0214030371677,0.0660181675937,0.91583969929,9.4,0.0,mv,0.91583969929,0.969034777389
7,3,5,0.1709,0.0298142583339,0.100774852702,0.981246137286,14.1,0.0,dong,0.981246137286,0.955196751034
7,3,5,0.1688,0.028308302669,0.0988048723956,0.979898772846,14.1,0.0,dawid,0.979898772846,0.955915131555
7,3,5,0.1203,0.0137262522197,0.026860766976,0.886099562177,14.1,0.0,mv,0.886099562177,0.986402684931
7,5,5,0.0692,0.0138477434985,0.0431176360966,0.994665133207,23.5,0.0,dong,0.994665133207,0.981403044775
7,5,5,0.1022,0.0184542677991,0.0656810383421,0.996134646785,23.5,0.0,dawid,0.996134646785,0.972090246554
7,5,5,0.1033,0.00812465383878,0.00595192693926,0.864172745121,23.5,0.0,mv,0.864172745121,0.997016266293
7,10,5,0.0103,0.00757693869581,0.00644913954462,0.999564124306,47.0,0.0,dong,0.999564124306,0.997110480511
7,10,5,0.049,0.0231084400166,0.0317436961862,1.0,47.0,0.0,dawid,1.0,0.986054230156
7,10,5,0.0683,0.00711407056473,0.0,0.900823881499,47.0,0.0,mv,0.900823881499,1.0
8,2,5,0.1454,0.0150213181845,0.0612749695673,0.92486651102,9.6,0.0,dong,0.92486651102,0.971955438135
8,2,5,0.3308,0.026764902391,0.192295148003,0.94369009121,9.6,0.0,dawid,0.94369009121,0.91864000089
8,2,5,0.1454,0.0150213181845,0.0612749695673,0.92486651102,9.6,0.0,mv,0.92486651102,0.971955438135
8,3,5,0.166,0.0276188341535,0.0972088636833,0.98239322011,14.4,0.0,dong,0.98239322011,0.956126729299
8,3,5,0.1757,0.0280928816607,0.103463208855,0.982097068785,14.4,0.0,dawid,0.982097068785,0.953600669524
8,3,5,0.1109,0.0133973878051,0.0237602460074,0.892467227757,14.4,0.0,mv,0.892467227757,0.987871806911
8,5,5,0.0629,0.0157,0.0379505149009,0.993648546741,24.0,0.0,dong,0.993648546741,0.98326344788
8,5,5,0.0979,0.0153456834322,0.061652599822,0.995805177234,24.0,0.0,dawid,0.995805177234,0.973148047783
8,5,5,0.1012,0.00769155380921,0.00513748355564,0.865370888268,24.0,0.0,mv,0.865370888268,0.997331091244
