Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
5,3,5,0.187133333333,0.029289057494,0.103340537155,0.963336549694,10.6032,0.0956731937378,M-runs,0.963336549694,0.953252403614,0.961628359691
5,3,5,0.0680666666667,0.0259395879347,0.0341851990256,0.979511413061,6.8326,0.43659558709,SM-runs,0.979511413061,0.98418702306,0.980273167959
5,5,5,0.0844666666667,0.0190188210874,0.0527339684817,0.993145437304,22.5,0.0,Baseline,0.993145437304,0.977520610187,0.990502818378
5,5,5,0.0788,0.0239644180679,0.0459641214917,0.987862518518,17.7596666667,0.191793870832,M-runs,0.987862518518,0.979918965674,0.986519632206
5,5,5,0.0620666666667,0.0235951030701,0.0294157285827,0.973812254034,7.43413333333,0.476413667124,SM-runs,0.973812254034,0.987309688919,0.975924710132
5,10,5,0.0160666666667,0.00722464916488,0.00993971560475,0.998943180293,45.0,0.0,Baseline,0.998943180293,0.995580171367,0.998380150478
5,10,5,0.0158,0.0067052218457,0.00949044384618,0.998360273279,35.7826666667,0.320571711513,M-runs,0.998360273279,0.995764064077,0.997925888518
5,10,5,0.0578,0.0250178602869,0.0303129603366,0.983479582039,8.82006666667,0.335490976862,SM-runs,0.983479582039,0.986645549319,0.983994476141
6,3,5,0.194,0.0273788239338,0.117230871674,0.982619905687,13.8,0.0,Baseline,0.982619905687,0.948926070145,0.976828744588
6,3,5,0.162133333333,0.0219237060938,0.0917185722286,0.970767635636,10.8148,0.182513999463,M-runs,0.970767635636,0.959252573466,0.968819446851
6,3,5,0.075,0.0436898157469,0.038342495628,0.976622341523,6.70826666667,0.66888877667,SM-runs,0.976622341523,0.982981072354,0.977605213505
6,5,5,0.0700666666667,0.0192023146753,0.0426083187508,0.993644519131,23.0,0.0,Baseline,0.993644519131,0.981251331839,0.991552984777
6,5,5,0.0652,0.0145519758109,0.0361151896372,0.986638990976,18.231,0.204606940254,M-runs,0.986638990976,0.983805907045,0.986161858548
6,5,5,0.0704,0.0330732520324,0.0317146051404,0.967983478846,7.21073333333,0.580898208716,SM-runs,0.967983478846,0.985901956622,0.970766055534
6,10,5,0.0137333333333,0.00515708789488,0.00841060806303,0.998934234163,46.0,0.0,Baseline,0.998934234163,0.99624465112,0.998484579654
6,10,5,0.0117333333333,0.006191032942,0.007169228407,0.999417679316,36.832,0.382085505265,M-runs,0.999417679316,0.996694462608,0.998962138418
6,10,5,0.0745333333333,0.0350844061594,0.0383685464954,0.978475101519,8.52946666667,0.317572221007,SM-runs,0.978475101519,0.982828342448,0.97908966281
7,3,5,0.190666666667,0.0348839345385,0.113913370233,0.982473854971,14.1,0.0,Baseline,0.982473854971,0.949709805715,0.976838129691
