Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
2,10,5,0.05655,0.0132456596665,0.0351153124288,0.996661004453,42.0,0.0,Baseline,0.996661004453,0.984468947728,0.994605216055
2,10,5,0.04735,0.0140793288192,0.0278949935714,0.994068618089,33.289,0.264913193329,M-runs,0.994068618089,0.987532908235,0.992969707479
2,10,5,0.09365,0.0404676105052,0.0399861117537,0.954350092977,9.81925,0.486664758843,SM-runs,0.954350092977,0.981491723466,0.958742090838
3,3,5,0.30045,0.037292727173,0.180450994888,0.962003061768,12.9,0.0,Baseline,0.962003061768,0.9243731737,0.955501214057
3,3,5,0.24145,0.0316677675247,0.135743137424,0.948622020217,9.99615,0.0959271989584,M-runs,0.948622020217,0.941373703462,0.947376748296
3,3,5,0.1226,0.0650272250677,0.0670449641617,0.967817655513,7.0809,0.768184606719,SM-runs,0.967817655513,0.971637870132,0.968377186223
3,5,5,0.1268,0.0267686383666,0.0750725397957,0.986869021583,21.5,0.0,Baseline,0.986869021583,0.96642351996,0.983386789386
3,5,5,0.11475,0.0282893531209,0.0637950913195,0.978532146541,16.923,0.190731486651,M-runs,0.978532146541,0.971085000119,0.977272057123
3,5,5,0.08035,0.0308419762661,0.0387819865153,0.970376619988,7.9995,0.59133066046,SM-runs,0.970376619988,0.982439150882,0.9723456377
3,10,5,0.03365,0.0103066725959,0.0208827885668,0.997963907191,43.0,0.0,Baseline,0.997963907191,0.990727946988,0.99674940138
3,10,5,0.0271,0.0126249752475,0.0160988324093,0.996971015752,34.111,0.360567608085,M-runs,0.996971015752,0.992779956812,0.996267833048
3,10,5,0.07305,0.0180346194859,0.0338083346244,0.969272151813,8.85205,0.46658562719,SM-runs,0.969272151813,0.984837002104,0.971820465166
4,3,5,0.25515,0.0388320421817,0.151336709825,0.971476982403,13.2,0.0,Baseline,0.971476982403,0.934247470484,0.965045884854
4,3,5,0.21035,0.0417699353603,0.116967766104,0.959981686016,10.3332,0.0980013265216,M-runs,0.959981686016,0.947616496879,0.957865404997
4,3,5,0.1158,0.0680019117378,0.0620181035683,0.973437848704,6.8259,0.486327040169,SM-runs,0.973437848704,0.971781612138,0.973111714365
4,5,5,0.1157,0.0233689965553,0.0714055329117,0.989301607976,22.0,0.0,Baseline,0.989301607976,0.969539439008,0.985946280428
4,5,5,0.08725,0.0171373130916,0.0510333916727,0.985623697685,17.31025,0.162145575024,M-runs,0.985623697685,0.978000248873,0.984340281626
4,5,5,0.07225,0.0400435700207,0.0342964155604,0.970702083908,7.49975,0.567531309709,SM-runs,0.970702083908,0.984901318054,0.972990252749
4,10,5,0.0188,0.00810308583195,0.0113723700234,0.998476251556,44.0,0.0,Baseline,0.998476251556,0.994857749119,0.997870109594
4,10,5,0.01925,0.00821507760158,0.011650499027,0.998551244908,35.048,0.353590158234,M-runs,0.998551244908,0.994702673712,0.997906780854
4,10,5,0.0657,0.0363140468689,0.0326416846682,0.977922552654,8.57,0.245808665429,SM-runs,0.977922552654,0.985411032613,0.979123475123
5,3,5,0.2157,0.0361912972964,0.131115641396,0.978797076747,13.5,0.0,Baseline,0.978797076747,0.944093948138,0.972822260132
5,3,5,0.18915,0.0285731954811,0.107754750729,0.965455027428,10.6023,0.134338043755,M-runs,0.965455027428,0.952926966453,0.963326551079
5,3,5,0.0691,0.0233535864483,0.0360864534208,0.980386297645,6.9307,0.489483207066,SM-runs,0.980386297645,0.983958215848,0.980963029858
5,5,5,0.0929,0.017503999543,0.0569513567718,0.990105631586,22.5,0.0,Baseline,0.990105631586,0.975714631993,0.987671337144
5,5,5,0.083,0.0184607692147,0.0489827124438,0.986756404117,17.797,0.209782029736,M-runs,0.986756404117,0.97906811124,0.985457986917
5,5,5,0.06065,0.0302923670254,0.0281293359135,0.973593217907,7.3348,0.36452758469,SM-runs,0.973593217907,0.987770511806,0.975839935472
5,10,5,0.01735,0.0086039235236,0.0108553745936,0.999133098243,45.0,0.0,Baseline,0.999133098243,0.995176731469,0.998470568263
5,10,5,0.01585,0.00739780372813,0.00970498462806,0.998779954436,35.813,0.34662804272,M-runs,0.998779954436,0.995670607179,0.998259647632
