Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,fr_p
3,6,5,0.0941,0.0205496958615,0.0575286797489,0.989095260874,25.8,0.0,Baseline,0.989095260874,0.975606870106,0.2
3,6,5,0.083,0.0266045108957,0.049620989324,0.987848233422,21.0888,0.225312582871,M-runs,0.987848233422,0.978913233411,0.2
3,6,5,0.0666,0.0246625221743,0.0400110431904,0.991301023096,11.8153,0.498038161188,SM-runs,0.991301023096,0.982843959056,0.2
3,7,5,0.0777,0.0154146034655,0.0492432871069,0.993981756371,30.1,0.0,Baseline,0.993981756371,0.97933152981,0.2
3,7,5,0.0598,0.0171277552528,0.035816081305,0.991724574388,24.7751,0.227667938015,M-runs,0.991724574388,0.984657452244,0.2
3,7,5,0.0663,0.018138632804,0.0411913094898,0.993120260344,12.5783,0.4516016054,SM-runs,0.993120260344,0.982644064877,0.2
3,8,5,0.0561,0.013389921583,0.0365058303608,0.996337013234,34.4,0.0,Baseline,0.996337013234,0.98503101778,0.2
3,8,5,0.0524,0.00660605782597,0.033473652494,0.995190350073,28.2616,0.202892680992,M-runs,0.995190350073,0.986260249748,0.2
3,8,5,0.0685,0.0303455103763,0.0430880094328,0.992223384901,13.4193,0.308377382439,SM-runs,0.992223384901,0.982426820109,0.2
3,9,5,0.0435,0.0227343352663,0.0274232439405,0.997847772536,38.7,0.0,Baseline,0.997847772536,0.988048947414,0.2
3,9,5,0.0397,0.0198396068509,0.0245321890821,0.996850462313,31.9725,0.229605857939,M-runs,0.996850462313,0.989300924703,0.2
3,9,5,0.0716,0.0178952507666,0.04364734672,0.992694180866,14.2987,0.189058747483,SM-runs,0.992694180866,0.981108139303,0.2
3,10,5,0.0299,0.00874585616163,0.0185340377115,0.9986945151,43.0,0.0,Baseline,0.9986945151,0.991619727709,0.2
3,10,5,0.0283,0.0103348923555,0.016917799408,0.997385076171,35.462,0.356252719288,M-runs,0.997385076171,0.992328366931,0.2
3,10,5,0.0607,0.0177428858983,0.0351880052047,0.99171438229,15.3118,0.335460817384,SM-runs,0.99171438229,0.984141159325,0.2
3,1,5,0.7428,0.0499435681545,0.45416080567,0.947954203162,4.3,0.0,Baseline,0.947954203162,0.821877765036,0.3
3,1,5,0.8488,0.0661147487328,0.523538098154,0.951695506023,3.286,0.0508881125608,M-runs,0.951695506023,0.800672412958,0.3
3,1,5,0.7221,0.0998523409841,0.419492895354,0.903828948602,3.2202,0.293064429776,SM-runs,0.903828948602,0.825963287208,0.3
3,2,5,0.331,0.0380814915674,0.162824927809,0.889351449334,8.6,0.0,Baseline,0.889351449334,0.922913885979,0.3
3,2,5,0.2725,0.0255587558383,0.122324533601,0.881294347142,7.3056,0.0572908369637,M-runs,0.881294347142,0.940626781922,0.3
3,2,5,0.1379,0.0211066340282,0.0831342822214,0.987885094652,8.2893,0.205134126854,SM-runs,0.987885094652,0.963278475423,0.3
3,3,5,0.3011,0.0393889578435,0.178902989504,0.96509576084,12.9,0.0,Baseline,0.96509576084,0.923133041579,0.3
